날짜,제목,글쓴이,조회,공감,비공감
2022.06.26 23:34,국일제지 사는 것은 미친짓 이다,them****,218,4,7
2022.06.26 22:24,"언제인지도 모르겠다
				[2]",cjsd****,298,5,3
2022.06.26 21:29,"KOON은 여성이다
				[2]",hanp****,279,10,5
2022.06.26 11:54,"6월 증시 하락률 한국 1위 ㅋㅋ
				[2]",azaz****,426,14,12
2022.06.26 10:52,"미스터 트롯 시즌 2 참가자
				[1]",them****,270,0,8
2022.06.26 10:13,"꿈의 신소재' 그래핀으로 방탄복 만든다....
				[1]",hagi****,537,5,6
2022.06.25 22:00,"단군 이래
				[4]",them****,428,2,13
2022.06.25 15:06,"나는 쿤이 너무 좋다.
				[2]",fifa****,416,9,10
2022.06.25 14:45,"쿤에게
				[1]",kimm****,373,12,6
2022.06.25 14:43,"국일제지주주여 반등과 신고점돌파주식의 조...
				[2]",dlek****,253,0,1
2022.06.24 22:52,"우와. 진짜 많이 올랐네요
				[4]",koon****,410,8,12
2022.06.24 18:54,"오늘 6.7% 폭등!!!
				[6]",koon****,436,6,17
2022.06.24 16:57,"전환가액 조정 때문이라도
				[4]",aiii****,291,0,9
2022.06.24 15:35,큰 의미들,heon****,180,2,3
2022.06.24 15:34,세력형들 역시 고마버용..,dreg****,148,1,3
2022.06.24 14:48,찐따들 특~,sach****,165,3,3
2022.06.24 14:23,"3시뉴스 있을까?
				[1]",love****,272,2,5
2022.06.24 12:27,"국일
				[2]",dhgu****,417,15,6
2022.06.24 12:25,아직도 마이너스 55프로,ksm1****,243,7,2
2022.06.24 12:21,"지금 가격에 파는 인간들은
				[1]",aiii****,291,6,4
2022.06.24 11:46,반대매매당한 신용 개미들,leed****,192,2,2
2022.06.24 11:45,갭은 메우러 가야지,aiii****,136,0,3
2022.06.24 10:05,오늘 빨간불,ugiz****,206,7,3
2022.06.24 09:53,중구형 내려갈땐 내려가더라도 3900 은...,dlal****,199,1,2
2022.06.24 09:50,공매,pys2****,184,4,2
2022.06.24 09:47,다시,gjsr****,166,1,4
2022.06.24 09:46,6%가 올랐어도,aiii****,223,6,3
2022.06.24 09:38,파란불이야 기다려바^^,dbdl****,146,2,4
2022.06.24 09:28,아 닝기미..,drun****,183,3,3
2022.06.24 09:18,뉴스 있나??  뉴스 내고 공매도 ㅎㅎ,ogco****,194,2,2
2022.06.24 09:14,아그더라,them****,134,0,1
2022.06.24 09:08,엠바고라 했냐 안했냐,afte****,163,2,5
2022.06.24 09:01,기다려라 파란불이다 ㅋㅋ,dbdl****,159,4,4
2022.06.24 08:53,"국일제지 이름도 아깝네
				[1]",odr7****,182,4,0
2022.06.24 07:45,미증시는 안정을 찾아가네,aiii****,206,3,1
2022.06.24 07:24,"신소재 성장주에 희망이란...
				[7]",dvmm****,382,19,5
2022.06.24 06:55,"국일그래핀 공장예정부지 사진관련하여...
				[5]",dvmm****,481,27,7
2022.06.24 05:55,관심 법으로 보니--,them****,140,0,2
2022.06.24 05:51,50원오르기도 힘든데,dbdl****,168,2,2
2022.06.23 21:27,전환가액   조정전에,aiii****,235,1,9
2022.06.23 21:16,속보 (계속해서 경고),them****,183,5,4
2022.06.23 23:21,[삭제된 게시물의 답글]너 쌍욕이잖아,fifa****,100,2,4
2022.06.23 20:10,"국일은 OO이다 ??
				[1]",koon****,149,8,6
2022.06.23 19:44,신용으로  사신 분들,them****,155,3,1
2022.06.23 19:07,"우리나라에 희망이
				[4]",ksi1****,177,1,3
2022.06.23 18:40,"이왕 줄라면---
				[1]",them****,111,2,4
2022.06.23 18:29,600원만 더빼자,them****,108,2,5
2022.06.23 18:06,"내일 역대급 반대매매 쏟아진단다.
				[1]",mmkk****,212,3,3
2022.06.23 17:41,"국일그래핀
				[2]",gusg****,278,8,14
2022.06.23 16:54,주주 알기를 개똥으로 아는 회사,leed****,128,5,2
2022.06.23 16:53,"최대표는 당장 사죄 하시요
				[1]",aiii****,214,12,3
2022.06.23 16:16,"와~ 2400원 실화냐? 400원만 더 ...
				[2]",mmkk****,252,11,1
2022.06.23 15:56,저기요 기우제는 여기 주주들이 맨날하는거...,sach****,143,5,1
2022.06.23 15:50,"와.. 3년투자결과
				[3]",ddol****,296,12,1
2022.06.23 15:50,"국일그래핀 공장예정지 현재상황 사진은 카...
				[25]",sean****,722,45,23
2022.06.23 15:44,국일이,hihi****,127,0,2
2022.06.23 15:33,환율 잘보고 주식 대응해야됨. 개별주를 ...,mmkk****,161,4,2
2022.06.23 15:32,"sean 저분 국일 종토방에서 오래된 분...
				[1]",ksm1****,281,11,7
2022.06.23 15:48,"국일그래핀 공장예정지 사진은...
				[1]",sean****,229,7,6
2022.06.23 15:28,ㅋㅋㅋ 공장사진 지우고 튐,ksm1****,139,7,1
2022.06.23 15:25,"공장사진 ㅋㅋㅋㅋㅋㅋㅋㅋ 장난하냐
				[1]",leed****,185,8,2
2022.06.23 15:09,"사진을 보고 공장이라고 하는 애들 특징
				[4]",ksm1****,293,9,4
2022.06.23 15:05,"그래핀 공장 짓는다는 것은
				[1]",gabs****,287,11,9
2022.06.23 14:24,"시원하고 즐겁다
				[1]",them****,199,9,1
2022.06.23 14:20,"007 흥분해서 발끈하고 도망가냐
				[1]",ksm1****,150,8,2
2022.06.23 14:15,"안녕 안티호구들아
				[1]",007t****,170,1,8
2022.06.23 14:10,"007 얘는 지 머리에서 피 흐르는건 모...
				[2]",ksm1****,172,9,3
2022.06.23 14:09,"김길동님
				[2]",007t****,143,1,6
2022.06.23 13:48,K모씨의 실상,007t****,124,0,3
2022.06.23 13:47,"007 정신승리 하지마세요~
				[1]",ksm1****,148,6,4
2022.06.23 13:45,k모씨가 남긴 희대의 게시글,007t****,156,1,4
2022.06.23 13:43,"뇌절 하지 말고 공장이라고 올린 사진을 ...
				[3]",ksm1****,228,9,9
2022.06.23 13:41,"누가 개미들을 홀리게 하는지 의심해봐라
				[3]",ksm1****,171,7,7
2022.06.23 13:26,주시기는,hihi****,115,1,3
2022.06.23 13:24,"ㅋㅋㅋ 카페 애들 단체행동 개웃기네
				[1]",ksm1****,194,9,11
2022.06.23 13:07,환율이 1300대야,aiii****,128,5,4
2022.06.23 13:03,대세하락장에서의 낙관론은 대세상승장에서의...,mmkk****,125,5,3
2022.06.23 13:02,"(사진포함)-국일그래핀 공장예정지 신축건...
				[37]",sean****,640,54,18
2022.06.23 12:59,어후 씨원하당,them****,109,2,1
2022.06.23 12:37,"(국일통신) 국일그래핀 공장예정지에 신축...
				[50]",sean****,591,63,12
2022.06.23 12:16,와,sqae****,102,4,1
2022.06.23 11:39,17년도에  들어와서,gkgk****,133,1,0
2022.06.23 11:22,"그래핀의 위력..
				[1]",dreg****,197,2,5
2022.06.23 11:21,어려운 장 이당,them****,131,0,3
2022.06.23 11:01,"호재뜸
				[2]",sach****,240,2,0
2022.06.23 10:52,"가만히 잇으면 다시 파란불일텐데
				[1]",dbdl****,121,2,4
2022.06.23 10:25,시제품 발표한다고 2년 지낫나 ?ㅋㅋ,dbdl****,144,5,4
2022.06.23 10:21,가로이가 방송 안하니 상승하넹~~,yjyi****,139,5,3
2022.06.23 11:00,"가로이가 방송 안하니 상승하넹~~
				[1]",hihi****,102,0,0
2022.06.23 09:54,"국일제지 대표님
				[4]",hjc1****,316,23,1
2022.06.23 09:47,"똥
				[1]",mind****,155,7,2
2022.06.23 09:30,조속히,them****,125,4,2
2022.06.23 09:26,천원 화이팅,dbdl****,116,2,3
2022.06.23 09:25,레몬사,dbdl****,120,3,3
2022.06.23 09:07,"어차피 파란불일텐데
				[1]",dbdl****,131,4,2
2022.06.23 09:05,쭉쭉 매도물량 보이냐 ㅋㅋ,dbdl****,115,4,1
2022.06.23 09:03,또같은패턴 욕만나오는 주식,scie****,104,3,0
2022.06.23 08:58,엠바고라 했냐 안했냐,afte****,95,1,4
2022.06.23 08:44,하한가~~신용임,yjyi****,127,2,2
2022.06.23 08:42,하한가에 3천주 매수걸엇다,dbdl****,115,2,3
2022.06.23 08:42,더도 덜도 말고,them****,112,2,1
2022.06.23 08:35,오늘도,hihi****,103,0,4
2022.06.23 08:31,국일제자주주여 호재..누가 저평가?,aaaa****,99,0,3
2022.06.23 07:55,오늘은-10% 좋다 ㅋㅋ,dbdl****,116,3,2
2022.06.23 07:09,오늘 과대 낙폭에 대한,aiii****,158,3,1
2022.06.23 00:30,빙그레,csnl****,163,1,0
2022.06.22 23:55,공매도,csnl****,125,2,0
2022.06.22 21:32,안티천국이네 ㅋㅋ,ryde****,90,3,3
2022.06.22 19:58,"가로이는 또 머라고 썰을 풀까?
				[3]",scie****,242,8,1
2022.06.22 19:50,잘한다,hihi****,117,4,3
2022.06.22 19:13,"경고
				[1]",them****,179,6,1
2022.06.22 18:30,아직 고점 이다 개미 호구 새끼들 만 저...,jcu0****,125,4,2
2022.06.22 18:16,"최우식이는 봐라!
				[1]",rlax****,211,21,2
2022.06.22 18:06,구라핀,ckh8****,127,7,3
2022.06.22 18:05,국일제지가,ckh8****,118,6,2
2022.06.22 17:55,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,dbdl****,106,3,5
2022.06.22 17:45,"가자~1,000원 시대로 ㅋㅋㅋ",dbdl****,96,4,2
2022.06.22 17:21,"윤순길 교수 유럽 깠다잖아~~
				[1]",yjyi****,222,0,6
2022.06.22 16:56,6.25일,aiii****,143,3,3
2022.06.22 16:53,"포기하지마라.. 세력들은 올릴 것이다..
				[1]",dreg****,185,1,6
2022.06.22 16:22,"아찔하게 빠지는구만??
				[2]",ksm1****,178,8,2
2022.06.22 16:15,어후 시원 하다  잉~,them****,136,8,2
2022.06.22 16:09,거 육개장 한사바리 내와봐라~,west****,128,5,1
