날짜,제목,글쓴이,조회,공감,비공감
2022.06.25 00:13,조회수 70인데도 그짝 기사엔 댓글하나 없소잉~,roya****,474,3,0
2022.06.25 00:05,여기는,kisa****,360,1,0
2022.06.24 22:51,완도로 '농촌 한달살기' 떠난 초등생 가족 연락두절,roya****,409,5,3
2022.06.24 19:28,내가 절대 조심 하는것,kisa****,414,6,9
2022.06.24 18:46,보고가는거 아닙니까,lija****,183,3,3
2022.06.24 18:38,내가 왜 전라도놈을 사람으로 안보냐하면,roya****,388,10,11
2022.06.24 17:53,하악하악,ckda****,166,2,0
2022.06.24 17:00,야 니들 내글 삭제 계속하면,kisa****,226,0,3
2022.06.24 16:50,2dgk를 수배합니다.,jbmr****,409,9,0
2022.06.24 16:15,2차전지중 젤 ㅅㄹㄱ 종목 ㅋ,balb****,255,3,0
2022.06.24 16:18,세계 최강의 민족,db00****,568,1,1
2022.06.24 15:56,조ㅈ 전문가님들 바로우 타셨나요?,jinw****,178,2,0
2022.06.24 16:21,조ㅈ 전문가님들 바로우 타셨나요?,db00****,413,0,0
2022.06.24 16:57,조ㅈ 전문가님들 바로우 타셨나요?,jinw****,400,0,0
2022.06.24 15:30,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,389,0,7
2022.06.24 15:11,이거 사려했는데,rlar****,321,9,0
2022.06.24 15:09,포케..,pyoo****,202,4,0
2022.06.24 15:07,전라도,kisa****,247,2,6
2022.06.24 15:03,미친다,chun****,137,0,0
2022.06.24 14:45,중권 화사들,jinw****,202,0,0
2022.06.24 14:45,이늠은 예전 카카오같네...,nang****,241,0,2
2022.06.24 14:39,신한만 풀매수중?,jinw****,212,0,0
2022.06.24 14:18,정리하고 나갑니다,dfrt****,191,3,0
2022.06.24 14:03,이번 성폭행 사건도 가해자 고향공개해야된다,roya****,291,7,7
2022.06.24 12:42,ㅅ스코케미칼,brai****,242,2,1
2022.06.24 12:27,하..내리는건 4~5프로 오른건 0.13퍼. .,alai****,243,3,0
2022.06.24 13:38,[삭제된 게시물의 답글]오늘도 공매도  10만주?,prah****,266,0,0
2022.06.24 12:15,언젠간 가겠지 가겠지..,qdw4****,367,8,0
2022.06.24 12:13,역시무겁내,lms9****,139,0,0
2022.06.24 11:57,지랄한다,smj7****,253,4,0
2022.06.24 11:32,내가 와 여기들어와가,kcs1****,287,8,1
2022.06.24 11:30,7월까지 30만은 무난히 찍어줄 녀석,dafu****,280,4,2
2022.06.24 11:29,쓰레기 주식,chan****,168,1,0
2022.06.24 11:23,엘엔에프로 조만간,doyo****,175,0,0
2022.06.24 11:22,이런건 사지마세요,qkrg****,201,5,0
2022.06.24 11:17,진짜 양심도없다 ㅋㅋ,bdor****,161,1,0
2022.06.24 11:17,갑질 일등각,ko22****,118,0,0
2022.06.24 11:17,IR 쓰레기회사 ㅎㅎ,pkh3****,196,9,0
2022.06.24 10:38,어휴,ssas****,374,1,3
2022.06.24 10:27,다음주 얼마나 떨굴려고..,rara****,134,0,0
2022.06.24 10:10,빨간색일때 팔아라,cybe****,209,2,0
2022.06.24 10:05,정말,akdm****,133,1,0
2022.06.24 09:41,상폐나해라..ㅅㅂㄲ,dalr****,180,6,0
2022.06.24 09:39,토쏠린다 OOO꺼,p243****,123,0,0
2022.06.24 09:32,반등도 못하는 쓰레기 ㅋㅋ,qkrg****,199,3,0
2022.06.24 09:29,한 여성의 인생을 송두리째 짖밟고..,dalr****,345,1,4
2022.06.24 09:21,쳐내리고 쳐내려도 끝없이,boms****,163,3,0
2022.06.24 09:14,오늘도  나락이네,cybe****,123,0,0
2022.06.24 09:10,오늘 기회네요,jhz_****,184,2,2
2022.06.24 09:12,오늘 기회네요,db00****,169,0,1
2022.06.24 09:08,이개잡주는,ort0****,117,0,1
2022.06.24 09:06,이회사는 좋은기억이 없네요!,sayk****,140,2,0
