,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
126,2021/07/06,277000,6500,2.4,272000,277000,272000,916616,252213000500,25612961228000,92465564
127,2021/07/07,272500,-4500,-1.62,275000,275500,271000,580951,158295248500,25196866190000,92465564
128,2021/07/08,269000,-3500,-1.28,273500,275000,269000,685120,185155513500,24873236716000,92465564
129,2021/07/09,272000,3000,1.12,267500,272500,264500,729517,196971914883,25150633408000,92465564
130,2021/07/12,272000,0,0.0,274000,274500,271000,411181,111870476000,25150633408000,92465564
131,2021/07/13,272500,500,0.18,272500,273500,270500,495112,134771914000,25196866190000,92465564
132,2021/07/14,270500,-2000,-0.73,272500,274500,270500,418627,113713249500,25011935062000,92465564
133,2021/07/15,267000,-3500,-1.29,268000,269500,267000,569106,152263673000,24688305588000,92465564
134,2021/07/16,262500,-4500,-1.69,265500,266000,261000,682837,179544694000,24272210550000,92465564
135,2021/07/19,258000,-4500,-1.71,261000,262000,258000,477751,123695607500,23856115512000,92465564
136,2021/07/20,259000,1000,0.39,253000,262000,252000,455078,117202739000,23948581076000,92465564
137,2021/07/21,259000,0,0.0,261500,266000,259000,412582,108173151000,23948581076000,92465564
138,2021/07/22,260500,1500,0.58,260500,261500,257000,350437,90819175500,24087279422000,92465564
139,2021/07/23,263000,2500,0.96,262000,265000,260500,268941,70749864500,24318443332000,92465564
140,2021/07/26,258000,-5000,-1.9,264000,264000,258000,302391,78468582500,23856115512000,92465564
141,2021/07/27,259000,1000,0.39,259000,265000,258500,428374,111867357500,23948581076000,92465564
142,2021/07/28,260500,1500,0.58,259500,264000,258500,320133,83632656000,24087279422000,92465564
143,2021/07/29,258000,-2500,-0.96,262000,262500,257000,368657,95381309500,23856115512000,92465564
144,2021/07/30,253000,-5000,-1.94,258500,259000,253000,430150,109514040000,23393787692000,92465564
145,2021/08/02,256000,3000,1.19,253000,256500,248000,382253,96665160500,23671184384000,92465564
146,2021/08/03,253000,-3000,-1.17,256000,256500,252500,327193,82992942000,23393787692000,92465564
147,2021/08/04,243500,-9500,-3.75,250000,250000,233000,1980463,475842692000,22515364834000,92465564
148,2021/08/05,238500,-5000,-2.05,240000,245000,236000,1234716,294670977500,22053037014000,92465564
149,2021/08/06,240500,2000,0.84,239500,244000,239000,586808,141412296500,22237968142000,92465564
150,2021/08/09,240500,0,0.0,243000,244500,236500,673303,161515735500,22237968142000,92465564
151,2021/08/10,242500,2000,0.83,241000,244000,238000,475742,114599496500,22422899270000,92465564
152,2021/08/11,246500,4000,1.65,243500,249500,242500,760035,187727783000,22792761526000,92465564
153,2021/08/12,242000,-4500,-1.83,249000,249500,241000,718521,175505980000,22376666488000,92465564
