,Date,Title
327,2021-01-05 ,오늘도 포케의 든든한 신공장을
328,2021-01-05 ,제3자
329,2021-01-05 ,포케의 중요한 포인트 하나
330,2021-01-05 ,국민연금 포스코케미칼 지분 6개월 만에 1 확대
331,2021-01-05 ,내일도 갑니다
332,2021-01-05 ,관물대 빤스털리지않도록  신신당부했건만
333,2021-01-05 ,1년뒤
334,2021-01-05 ,책팔이 꺼졍
335,2021-01-05 ,세상이 변했는데30년전
336,2021-01-05 ,원화의 저주한국인의 눈물
338,2021-01-05 ,단 한주도 안팔고있지만
339,2021-01-05 ,이익과 성장이 주가에 선반영 
342,2021-01-05 ,교보증권추천일201201투자의견 매수목표가75000
343,2021-01-05 ,포케 시총 
344,2021-01-05 ,궁금
345,2021-01-05 ,개미들 한강 가것네
346,2021-01-05 ,유증청약끝날때까찌만 살 눌렸으면 좋겠네여
347,2021-01-05 ,신주 인수권 41주 매수 했는데
348,2021-01-05 ,삭제된 게시물의 답글삭제된 게시물의 답글얘기하니까
349,2021-01-06 ,삭제된 게시물의 답글어떨결에 돈 버는 사람도
350,2021-01-05 ,삭제된 게시물의 답글유상증자 물량중 포스코지분 60프로여
351,2021-01-05 ,꼭 답변 부탁합니다
352,2021-01-05 ,신주인수 신청어떻게하나요
354,2021-01-05 , 포스코케미칼  씨에스윈드  개잡주
355,2021-01-05 ,유증땐
356,2021-01-05 ,구주주가 아닌데 신주인수권샀습니다
357,2021-01-05 ,신주인수권 수익률 9000프로ㅋㅋㅋㅋㅋㅋ
358,2021-01-06 ,삭제된 게시물의 답글어제 매수 처음 주식 합니다
359,2021-01-06 ,천보랑 에코프로비엠이랑 키 맞춰야지
360,2021-01-06 ,게시판 보고 있으면
361,2021-01-06 ,영업이익 600억 짜리 시총이
363,2021-01-06 ,삭제된 게시물의 답글포스코가 1조중 6천억 투자
364,2021-01-06 ,삭제된 게시물의 답글워꼬아베같은 넘
365,2021-01-06 ,시작도 안했다이놈 물건이다
366,2021-01-06 ,주식 초보 입니다
367,2021-01-06 ,포케 한동안 열일한점 박수를 보내며
368,2021-01-06 ,거래가
369,2021-01-06 ,내가 만약 포케 사장이자 포스코회장이라면
370,2021-01-06 ,오늘 신주권 매매가 안되죠
371,2021-01-06 ,오늘 증시
372,2021-01-06 ,유증가 몇천원 올라가는 것 준비
373,2021-01-06 ,삭제된 게시물의 답글ㅋㅋ 전현적인 잡주 그래프
374,2021-01-06 ,신주 어제 샀는데 잔고에선 사라졌어요 
375,2021-01-06 ,허위사실 유포자들 처벌없나요
376,2021-01-06 ,내려주면 담아라
377,2021-01-06 ,신한 매도 포지션이
378,2021-01-06 ,삭제된 게시물의 답글슬슬 곡소리 날때가 다가오네
379,2021-01-06 ,전기차는 이젠
380,2021-01-06 ,잔치는 끝 났다
382,2021-01-06 ,너무 올랐다
383,2021-01-06 ,국민청원 영원한 공매도 금지를 청원합니다
384,2021-01-06 ,그 잠깐 조금 떨어졌다고
385,2021-01-06 ,어제 털린거보면모르겠냐
386,2021-01-06 ,오늘도 연기금은 버닝
387,2021-01-06 ,유상 발표 전
388,2021-01-06 ,감사합니다 
389,2021-01-06 ,주식한지 얼마안됐는데 좀 봐주세여
391,2021-01-06 ,맥점자리만 알면때돈벌지요
392,2021-01-06 ,포케 20가자
393,2021-01-06 ,안티질해도 갈놈은간다
394,2021-01-06 ,유증후 방향성은
395,2021-01-06 ,삭제된 게시물의 답글또 미쳤구나 
396,2021-01-06 ,헉 신주인수권이 사라졌어요
397,2021-01-06 ,수익대박
398,2021-01-06 ,어제 에서 갈아탔는데
399,2021-01-06 ,유증가 올라 가겠다
400,2021-01-06 ,포케 신주 배정분이 사라졌어요
401,2021-01-06 ,유상증자
402,2021-01-06 ,오늘 유증돈 빼갔냐
403,2021-01-06 ,신주인수가 상승대비해서
404,2021-01-06 ,지금 매수해도 유증 받을수 있나요
405,2021-01-06 ,지수 밀리도 빨간불
406,2021-01-06 ,9000개 전나멋있네
407,2021-01-06 ,8만원대에 매수했었는데
408,2021-01-06 ,희한해
409,2021-01-06 ,아 팔고 나가니 급등하는구나
411,2021-01-06 ,포스코가 주식수를 늘렸네요
412,2021-01-06 ,매수창구를 보니
413,2021-01-06 ,빗자루로
414,2021-01-06 ,5조 공시 뜨나
415,2021-01-06 ,청약 돈만 넣노면 되나
416,2021-01-06 ,악질놈들이음모론ㅋ혼자 생각
417,2021-01-06 ,시총의 80퍼센트를 수주했다고 돈을 복사한다니까
418,2021-01-06 ,통상 유증후에는
419,2021-01-06 ,유증 확정가가 얼마정도 될까요
420,2021-01-06 ,곧 15만 간다
421,2021-01-06 ,아 추매해야되는데 자꾸 오르네
422,2021-01-06 ,어제 댓글 감사 합니다
423,2021-01-06 ,한화생명 월봉 보시고
424,2021-01-06 ,기관의 의도적인 퍼포먼스
425,2021-01-06 ,14만 찍나
427,2021-01-06 ,35분남았네요이건 장난글ㅋ
428,2021-01-06 ,너무 의도적으로 올리네요
429,2021-01-06 ,신주 상장할때쯤 시총 10조 찍겠네요 주주는 아니지만 축하드림
430,2021-01-06 ,와 대단한 개미군단코스피
432,2021-01-06 ,2월부터는 10만원대 구경하기싫네요
433,2021-01-06 ,13131313
434,2021-01-06 ,개인은 매도 왜하노
435,2021-01-06 ,가자 좀
436,2021-01-06 ,주식이 어려운 것이
437,2021-01-06 ,이젠 보유자의 영역으로
438,2021-01-06 ,주식을 보는 시각 차이
439,2021-01-06 ,오늘종가는
440,2021-01-06 ,13만 깨부사 보자
441,2021-01-06 ,104000입성 후 지금까지
442,2021-01-06 ,주린이질문이요6
444,2021-01-06 ,퍄아아아
445,2021-01-06 ,13층 벽 안치우나
446,2021-01-06 ,장투주린공매도 관련 개인생각
447,2021-01-06 ,조급함을 다스리는 기질을 갖추기를
448,2021-01-06 ,13만
449,2021-01-06 ,갑자기 미침ㅋㅋ
450,2021-01-06 ,1만주 한번에 사버리노
451,2021-01-06 ,13만원이하 못 산다
452,2021-01-06 ,13시54분 내 글을 보기바람
453,2021-01-06 ,평단 5만7천 3억 99400 1억
454,2021-01-06 ,권리락 문의
455,2021-01-06 ,본디 좋은 종목이라 큰 걱정 없지만
456,2021-01-06 ,청약
457,2021-01-06 ,개인 매도 비중이 제일 높은 주식
458,2021-01-06 ,조만간 포케 10조 돌파 하겠네유
459,2021-01-06 ,부럽다 로 먹고 있기는 한데
460,2021-01-06 ,사령관님 오늘도 승리할거같습니다
461,2021-01-06 ,떨어지면 추매하려고했는데 언제해야될까요
462,2021-01-06 ,7만초반대 묻지마 줍줍 하신분들
463,2021-01-06 ,좀 천천히좀가지
464,2021-01-06 ,내가 파니까 잘 오르네
465,2021-01-06 ,수익률 
466,2021-01-06 ,주린이 질문좀 드려요
468,2021-01-06 ,이럴때
469,2021-01-06 ,올라서 좋기는 하다만
470,2021-01-06 ,대체왜팔아 다들 그동안 천보 에코 오를때 견뎠잖아 이제 우리차례여
471,2021-01-06 ,너무 올라서 이제 무섭다
472,2021-01-06 ,유증이고나발이고 포케갈길간다
473,2021-01-06 ,유증시 주가 질문
474,2021-01-06 ,신입인데 유상증자땜시 걱정이네
475,2021-01-06 ,ㅎ
476,2021-01-06 ,유증 언제 나옴
477,2021-01-06 ,빗자루로 안되긋따
478,2021-01-06 ,이런날이 오다니
479,2021-01-06 ,신주 241주
480,2021-01-06 ,넘 안타깝네
481,2021-01-06 ,사람살려
